Product ID Tag,Handle,CPI,Product ID Not Found in Tracker,No Images in Manifest,Missing Ghost Image,Missing Primary Ghost Image,Inconsistent Filenames,Missing Hero or Model Images,Missing Parent Row
S126-2012 LUS003 000265 GOLDEN OAK,astley-jacket-golden-oak,2012-000265,,X,,,,,
S126-2002 ACQ011 000397 GREEN LILY,astley-jacket-green-lily,2002-000397,,,,,,X,
S126-8415 KWS083 000102 IVORY,banks-top-ivory,8415-000102,,,,X,,,
S126-8415 KWS083 000008 JET MELANGE,banks-top-jet-melange,8415-000008,,,,X,,,
S126-4015 BYP058 373102 IVORY ANIMAL,chika-top-ivory-animal,4015-373102,,X,,,,,
S126-5004 BYP058 373001 BLACK ANIMAL,elton-skirt-black-animal,5004-373001,,,,X,,,
S126-5016 LLS034 000001 BLACK,hank-skirt-black,5016-000001,,,,X,,,
S126-2021 LLS002 000267 TOBACCO,hayden-jacket-tobacco,2021-000267,,,,X,,,
S126-3018 JYS019 000605 GRENADINE,jazmina-dress-grenadine,3018-000605,,,,X,,,
S126-3019 SCS011 000406 BERRY BLUE,kiera-dress-berry-blue,3019-000406,,X,,,,,
S126-3019 BSP031 416102 IVORY FLOWERS,kiera-dress-ivory-flowers,3019-416102,,,,X,,,
S126-5017 ZYS008 000171 MACADAMIA,linnie-skirt-macadamia,5017-000171,,,,X,,,
S126-5018 ACS017 000445 NIGHTFALL,mack-skirt-nightfall,5018-000445,,X,,,,,
S126-8833 KCS042 351406 BERRY BLUE,marty-sweater-berry-blue,8833-351406,,,,X,,,
S126-3022 ACQ011 000397 GREEN LILY,orrie-dress-green-lily,3022-000397,,,,X,,,
S126-8835 KCS018 000067 STORM,pogo-sweater-storm,8835-000067,,X,,,,,
S126-8406 KYS080 000001 BLACK,satterly-top-black,8406-000001,,,,X,,,
S126-4008 ZYS008 000171 MACADAMIA,sleary-top-macadamia,4008-000171,,X,,,,,
S126-7152 LLC036 000001 BLACK,small-tote-black,7152-000001,X,X,,,,,
S126-8830 KWS068 000406 BERRY BLUE,thea-sweater-berry-blue,8830-000406,,,,X,,,
S126-8830 KWS068 000689 PALE BLUSH,thea-sweater-pale-blush,8830-000689,,,,X,,,
S126-8834 KWS068 000406 BERRY BLUE,ty-sweater-berry-blue,8834-000406,,,,X,,,
S126-8834 KWS068 000689 PALE BLUSH,ty-sweater-pale-blush,8834-000689,,,,X,,,
S126-5013 BSP031 418001 BLACK FLOWERS,varda-skirt-black-flowers,5013-418001,,X,,,,,
S126-5023 LUS003 000265 GOLDEN OAK,varda-skirt-golden-oak,5023-000265,,X,,,,,
S126-5013 ACQ011 000397 GREEN LILY,varda-skirt-green-lily,5013-000397,,X,,,,,
S126-5023 LLS002 000563 MAROON,varda-skirt-maroon,5023-000563,,,,X,,,
S126-5013 BSP024 418067 STORM FLOWERS,varda-skirt-storm-flowers,5013-418067,,X,,,,,
S126-7151 LLC036 000001 BLACK,xl-tote-black,7151-000001,X,X,,,,,
